,pred,std,lat,lon
52,0.83545256,0.5554673,36.25,73.5
53,0.6454298,0.5759358,36.5,73.5
54,0.57136786,0.55723035,36.75,73.5
55,1.3300259,0.5573382,35.0,73.75
56,0.9394061,0.55266345,35.25,73.75
57,1.044714,0.5434012,35.5,73.75
58,0.8324784,0.5452588,35.75,73.75
59,1.0688641,0.54775643,36.0,73.75
60,0.8574268,0.5585664,36.25,73.75
61,0.69761515,0.57231927,36.5,73.75
62,0.49839908,0.57136834,36.75,73.75
63,0.34041065,0.5677748,37.0,73.75
64,0.98214656,0.556879,35.0,74.0
65,0.91970176,0.55920804,35.25,74.0
66,1.1245579,0.56385046,35.5,74.0
67,0.6911007,0.55170715,35.75,74.0
68,0.63643396,0.5544351,36.0,74.0
69,0.83780754,0.5499943,36.25,74.0
70,0.5954253,0.57438964,36.5,74.0
71,0.51629955,0.56137145,36.75,74.0
72,0.32162756,0.58332205,37.0,74.0
73,0.8724759,0.5472724,35.0,74.25
74,1.0453149,0.5501059,35.25,74.25
75,0.86270905,0.55414057,35.5,74.25
76,0.7697085,0.58120024,35.75,74.25
77,0.60476923,0.561745,36.0,74.25
78,0.64019763,0.5736661,36.25,74.25
79,0.65390575,0.567294,36.5,74.25
80,0.41582575,0.5726646,36.75,74.25
81,0.2999779,0.5862579,37.0,74.25
82,1.4426997,0.554862,35.0,74.5
83,0.94925463,0.5472051,35.25,74.5
84,0.83989847,0.5647688,35.5,74.5
85,0.8041981,0.54764014,35.75,74.5
86,0.67391443,0.5594404,36.0,74.5
87,0.7165891,0.56422365,36.25,74.5
88,0.46419978,0.58623475,36.5,74.5
89,0.43869877,0.5630502,36.75,74.5
90,0.29020607,0.5707293,37.0,74.5
91,1.5045252,0.5510396,34.75,74.75
92,1.2431977,0.5516544,35.0,74.75
93,0.95464116,0.54807085,35.25,74.75
94,0.8276634,0.55467296,35.5,74.75
95,0.6461268,0.5567934,35.75,74.75
96,0.6926136,0.5568599,36.0,74.75
97,0.508905,0.5608221,36.25,74.75
98,0.5057222,0.56924284,36.5,74.75
99,0.43715698,0.5854246,36.75,74.75
100,0.24310479,0.58537155,37.0,74.75
101,1.1870388,0.5504178,34.75,75.0
102,1.4027058,0.55113333,35.0,75.0
103,0.8045443,0.5460708,35.25,75.0
104,0.75874126,0.5591781,35.5,75.0
105,0.7923567,0.5571599,35.75,75.0
106,0.5497631,0.5717865,36.0,75.0
107,0.59314865,0.560028,36.25,75.0
108,0.5008155,0.5713127,36.5,75.0
109,0.32712573,0.5920213,36.75,75.0
110,0.20900325,0.593351,37.0,75.0
111,0.9421031,0.5454047,34.5,75.25
112,0.78891003,0.5472422,34.75,75.25
113,0.67159957,0.5502244,35.0,75.25
114,0.7961379,0.5524663,35.25,75.25
115,0.75972664,0.55551136,35.5,75.25
116,0.78123915,0.55721813,35.75,75.25
117,0.71831506,0.559661,36.0,75.25
118,0.52589184,0.5833239,36.25,75.25
119,0.49723524,0.56092685,36.5,75.25
120,0.3422594,0.5688509,36.75,75.25
121,0.24220876,0.5992272,37.0,75.25
122,0.95984286,0.54991186,34.25,75.5
123,1.0840774,0.5475281,34.5,75.5
124,0.90312845,0.5475519,34.75,75.5
125,0.85472953,0.54813,35.0,75.5
126,0.7860463,0.5576076,35.25,75.5
127,0.82793856,0.5455574,35.5,75.5
128,0.8865415,0.5568534,35.75,75.5
129,0.6469071,0.56311077,36.0,75.5
130,0.48194677,0.5608922,36.25,75.5
131,0.49457288,0.57602197,36.5,75.5
132,0.29482394,0.5759346,36.75,75.5
133,0.19240068,0.6061075,37.0,75.5
134,1.0595578,0.5485591,34.0,75.75
135,0.987072,0.55727553,34.25,75.75
136,1.1261404,0.5457498,34.5,75.75
137,1.0772374,0.5468345,34.75,75.75
138,1.2565569,0.5541114,35.0,75.75
139,0.7648184,0.56275165,35.25,75.75
140,0.72591037,0.5579379,35.5,75.75
141,0.92388356,0.56255317,35.75,75.75
142,0.4905278,0.5805033,36.0,75.75
143,0.41861802,0.567094,36.25,75.75
144,0.276509,0.5788304,36.5,75.75
145,1.0713545,0.54926634,34.0,76.0
146,1.1342857,0.54763246,34.25,76.0
147,0.75279063,0.55864596,34.5,76.0
148,0.8270074,0.54660195,34.75,76.0
149,0.9344713,0.5448703,35.0,76.0
150,0.95830286,0.55506814,35.25,76.0
151,0.6795131,0.55521953,35.5,76.0
152,0.7329188,0.5620065,35.75,76.0
153,0.7933608,0.57881427,36.0,76.0
154,1.0959466,0.55833596,33.5,76.25
155,0.9302006,0.5532199,33.75,76.25
156,0.69350964,0.54933655,34.0,76.25
157,0.85017383,0.5459463,34.25,76.25
158,0.8727492,0.54771745,34.5,76.25
159,0.8863875,0.561042,34.75,76.25
160,0.64300776,0.57262635,35.0,76.25
161,0.8122236,0.5598888,35.25,76.25
162,0.64253557,0.5620878,35.5,76.25
163,0.61373746,0.5712368,35.75,76.25
164,0.6110054,0.55454093,36.0,76.25
165,0.68275225,0.54674673,33.5,76.5
166,0.8080031,0.5514284,33.75,76.5
167,0.842285,0.549715,34.0,76.5
168,0.9626446,0.5468252,34.25,76.5
169,0.8538903,0.55220205,34.5,76.5
170,0.77262634,0.5568056,34.75,76.5
171,0.7932337,0.55466366,35.0,76.5
172,0.845507,0.5530315,35.25,76.5
173,0.74620533,0.5533831,35.5,76.5
174,0.49103737,0.5732164,35.75,76.5
175,0.5020107,0.5902797,36.0,76.5
176,0.9074913,0.55013895,33.0,76.75
177,0.8510825,0.54580045,33.25,76.75
178,1.1395446,0.54806876,33.5,76.75
179,1.1218705,0.55444235,33.75,76.75
180,1.0452791,0.5535511,34.0,76.75
181,0.9819937,0.5423983,34.25,76.75
182,0.8920453,0.55428916,34.5,76.75
183,0.5865234,0.5657589,34.75,76.75
184,0.6572657,0.5671069,35.0,76.75
185,0.74991137,0.5531882,35.25,76.75
186,0.76980174,0.562831,35.5,76.75
187,0.6118432,0.571815,35.75,76.75
188,0.7252556,0.56201917,33.0,77.0
189,0.70206916,0.55509067,33.25,77.0
190,0.6383966,0.55010533,33.5,77.0
191,0.9195274,0.5537233,33.75,77.0
192,0.66237515,0.5771316,34.0,77.0
193,0.8214356,0.55279434,34.25,77.0
194,1.0128528,0.55442613,34.5,77.0
195,0.6413468,0.5636468,34.75,77.0
196,0.74567795,0.5563697,35.0,77.0
197,0.6593841,0.5688981,35.25,77.0
198,0.52234685,0.5636287,35.5,77.0
199,0.47619238,0.5782809,35.75,77.0
200,0.8246272,0.56261843,32.75,77.25
201,0.81496286,0.5513351,33.0,77.25
202,0.9620034,0.5538685,33.25,77.25
203,0.87708366,0.55039614,33.5,77.25
204,1.0049223,0.5598535,33.75,77.25
205,0.7697895,0.5506457,34.0,77.25
206,0.75995195,0.5574319,34.25,77.25
207,0.75653034,0.5547447,34.5,77.25
208,0.659317,0.5660435,34.75,77.25
209,0.48495802,0.5535399,35.0,77.25
210,0.6063328,0.5601413,35.25,77.25
211,0.5626559,0.58377665,35.5,77.25
212,1.0046306,0.5548984,32.75,77.5
213,0.83247805,0.55327356,33.0,77.5
214,0.56999487,0.562312,33.25,77.5
215,0.64754164,0.5530249,33.5,77.5
